"";"ano";"CNAE1";"X20";"n"
"279";1963;"Outras atividades de serviços";"AM";1
"280";1963;"Outras atividades de serviços";"CE";1
"281";1963;"Outras atividades de serviços";"DF";1
"282";1963;"Outras atividades de serviços";"MG";4
"283";1963;"Outras atividades de serviços";"MT";1
"284";1963;"Outras atividades de serviços";"PB";2
"285";1963;"Outras atividades de serviços";"PR";3
"286";1963;"Outras atividades de serviços";"RJ";1
"287";1963;"Outras atividades de serviços";"RN";1
"288";1963;"Outras atividades de serviços";"SP";9
"289";1963;"Saúde humana e serviços sociais ";"BA";1
"290";1963;"Saúde humana e serviços sociais ";"MA";1
"291";1963;"Saúde humana e serviços sociais ";"MG";1
"292";1963;"Saúde humana e serviços sociais ";"PE";1
"293";1963;"Saúde humana e serviços sociais ";"SP";2
"294";1963;"Transporte, armazenagem e correio";"RJ";1
"295";1963;"Transporte, armazenagem e correio";"RS";1
"296";1963;"Transporte, armazenagem e correio";"SP";1
"297";1963;"água, esgoto, atividades de gestão de resíduos e descontaminação";"MA";1
"298";1964;"Administração pública, defesa e seguridade social";"PR";1
"299";1964;"Administração pública, defesa e seguridade social";"RS";14
"300";1964;"Administração pública, defesa e seguridade social";"SC";1
"301";1964;"Administração pública, defesa e seguridade social";"SP";1
"302";1964;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"CE";1
"303";1964;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"MG";1
"304";1964;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"MT";1
"305";1964;"Agricultura, pecuária, produção florestal, pesca e aquicultura";"SP";1
"306";1964;"Alojamento e alimentação";"BA";1
"307";1964;"Alojamento e alimentação";"DF";1
"308";1964;"Alojamento e alimentação";"PR";1
"309";1964;"Alojamento e alimentação";"RJ";4
"310";1964;"Alojamento e alimentação";"SP";2
"311";1964;"Artes, cultura, esporte e recreação";"ES";1
"312";1964;"Artes, cultura, esporte e recreação";"MG";2
"313";1964;"Artes, cultura, esporte e recreação";"RJ";1
"314";1964;"Artes, cultura, esporte e recreação";"RN";1
"315";1964;"Artes, cultura, esporte e recreação";"RS";2
"316";1964;"Artes, cultura, esporte e recreação";"SP";2
"317";1964;"Atividades administrativas e serviços complementares";"MG";7
"318";1964;"Atividades administrativas e serviços complementares";"PE";10
"319";1964;"Atividades administrativas e serviços complementares";"RJ";7
"320";1964;"Atividades administrativas e serviços complementares";"RS";1
"321";1964;"Atividades administrativas e serviços complementares";"SC";1
"322";1964;"Atividades administrativas e serviços complementares";"SP";20
"323";1964;"Atividades financeiras, de seguros e serviços relacionados ";"RJ";1
"324";1964;"Atividades financeiras, de seguros e serviços relacionados ";"SP";2
"325";1964;"Atividades imobili?rias";"BA";1
"326";1964;"Atividades imobili?rias";"ES";1
